"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"GRWD1","Grwd1",5.372581,7.808973,7.231283,139,368,350,6.804279,10.032636,8.420753,7.110197,245,381,333,0.253449666666667,6.22624043672542
"GRXCR1","Grxcr1",0,0,0,0,0,0,0,0,0,0,0,0,0,18.3605346666667,0.0516514660993178
"GRXCR2","Grxcr2",0.178069,0.141366,0.079646,5,7,4,0.133027,0,0,0,0,0,0,2.74315533333333,0.302693022090276
"GSAP","Gsap",1.673193,1.311495,1.223796,58,88,112,1.402828,4.723122,4.089005,3.518914,115,128,128,0.954392333333333,1.22945017692626
"GSC","Gsc",0,0.03946,0.037204,0,1,1,0.0255546666666667,0,0,0,0,0,0,28.610648,0.0346346580009552
"GSC2","Gsc2",0.086569,0,0,1,0,0,0.0288563333333333,0.07838,0.037775,0.102313,3,2,6,11.2349293333333,0.0840917266706458
"GSDMA","Gsdma",0.025064,0.028225,0,1,2,0,0.017763,0,0.046924,0.088327,0,2,4,0.00760966666666667,1.01007665336015
"GSDMC","Gsdmc4",0,0.000487,0,0,0,0,0.000162333333333333,0.037099,0,0,1,0,0,2.60606066666667,0.277355936515026
"GSDMD","Gsdmd",0.883887,0.822958,1.361961,22,30,38,1.02293533333333,0.594864,0.286518,0.415475,10,5,7,30.4561586666667,0.0643096747689345
"GSDME","Gsdme",5.720158,5.672383,5.610686,266,448,401,5.66774233333333,27.207057,27.323079,23.70225,781,1083,1047,27.8686393333333,0.230968361769458
"GSE1","Gse1",18.554511,4.881637,3.917702,944,380,432,9.11795,37.71322,41.789398,45.776882,2444,3936,4427,9.69070866666667,0.946424630534315
"GSG1","Gsg1",0.222772,0.285674,0.160993,3,8,4,0.223146333333333,0.486981,0.392829,0.150546,18,21,8,23.3850013333333,0.0501597812775733
"GSG1L","Gsg1l",14.587897,7.703624,5.55958,805,788,583,9.28370033333333,1.017122,0.224773,0.613118,52,17,29,21.1545376666667,0.464180317732652
"GSK3A","Gsk3a",77.236401,65.64608,62.490438,2179,3445,3318,68.4576396666667,52.315427,56.047102,60.154287,1095,1626,1800,31.3313873333333,2.14830371955788
"GSK3B","Gsk3b",37.254832,6.852701,9.352671,3393,1289,1449,17.820068,33.369874,28.730614,30.998641,3433,4575,4500,27.6438216666667,0.657037605491772
"GSKIP","Gskip",9.71991,10.717956,10.394945,376,745,734,10.2776036666667,18.649685,16.333934,18.408379,227,286,268,38.3473283333333,0.286616757588412
"GSN","Gsn",25.730904,34.143926,35.645759,909,1884,2043,31.8401963333333,23.117529,13.539778,15.334541,667,473,658,19.932336,1.56887393424859
"GSPT1","Gspt1",35.745248,22.822061,25.608276,1137,1270,1249,28.0585283333333,43.670695,41.315813,36.210456,1620,2360,2343,10.2370513333333,2.58595671331809
"GSPT2","Gspt2",10.071713,7.814963,6.890779,347,482,429,8.25915166666667,9.794926,8.973639,7.440158,424,529,466,1.00644033333333,4.61471567972534
"GSR","Gsr",20.357579,13.879027,12.000535,261,460,401,15.4123803333333,21.308657,21.581233,17.25296,663,770,857,0,16.4123803333333
"GSS","Gss",10.146045,11.084147,11.032177,184,362,409,10.754123,28.674364,26.386411,23.248898,522,695,641,144.516075,0.0807754263575347
"GSTA3","Gsta3",0.403324,0.688824,0.481633,6,18,9,0.524593666666667,0,0,0,0,0,0,24.1083776666667,0.0607205167497016
"GSTA5","Gsta2",0.100089,0.269127,0.225058,1,4,4,0.198091333333333,0,0,0,0,0,0,189.260268,0.00629711786873617
"GSTCD","Gstcd",1.547548,1.418998,1.474852,73,98,112,1.480466,3.787261,4.248427,3.723908,159,246,170,0.332864333333333,1.86100410819506
"GSTK1","Gstk1",6.014845,10.768901,11.634212,67,201,232,9.47265266666667,29.671083,28.847598,26.407173,550,752,707,36.476946,0.279442531594401
"GSTM1","Gstm2",2.048044,3.181423,2.819371,26,71,67,2.682946,9.547775,8.604408,8.807326,127,160,165,0.0818366666666667,3.40434569605393
"GSTM2","Gstm7",25.736453,37.441009,40.636267,208,567,650,34.6045763333333,75.481238,65.499411,57.012559,714,865,801,81.16391,0.433335954110915
"GSTM3","Gstm5",181.877446,249.952922,247.551687,1309,3241,3349,226.460685,65.83683,61.361072,79.439554,883,1259,1557,7.83554066666667,25.7438331825157
"GSTM4","Gstm4",4.951637,6.507965,5.429858,67,198,186,5.62982,33.455925,28.040079,29.976311,375,415,476,43.8721653333333,0.147749054469521
"GSTM5","Gstm1",185.014911,223.652741,227.35375,1871,3836,3974,212.007134,0.121168,0.476199,0.038978,7,3,4,0.202147333333333,177.188875351385
"GSTO1","Gsto1",28.900168,41.83121,49.705428,264,610,646,40.145602,46.552121,37.55131,42.086174,375,423,493,44.135695,0.911597838473519
"GSTO2","Gsto2",0.201063,0.506029,0.996234,3,14,28,0.567775333333333,6.573999,3.522952,3.99891,248,256,274,121.953252333333,0.0127509870912809
"GSTP1","Gstp2",140.525419,231.674165,248.110036,162,486,553,206.769873333333,217.925007,272.263929,290.004208,1548,2034,2194,0.256413333333333,165.367453385828
"GSTT2B","Gstt2",1.882735,3.722769,4.688431,18,67,92,3.43131166666667,3.252175,1.310725,2.073669,49,24,45,5.197797,0.714981737328064
"GSTT4","Gstt4",0,0,0,0,0,0,0,0.076514,0,0.025921,2,0,1,1.880905,0.347113146736876
"GSTZ1","Gstz1",12.458795,17.71699,23.076208,253,638,765,17.7506643333333,11.903319,11.965744,9.102329,146,230,190,0.392959666666667,13.461024595352
"GSX1","Gsx1",0.095416,0.145898,0.186817,2,6,8,0.142710333333333,0,0,0,0,0,0,11.9011076666667,0.0885745908691096
"GSX2","Gsx2",0,0.073927,0,0,2,0,0.0246423333333333,0,0,0,0,0,0,0.495688666666667,0.685063914816497
"GTDC1","Gtdc1",25.175188,28.219716,26.548448,527,862,795,26.647784,7.234096,5.238153,4.061768,346,355,309,0.0471693333333333,26.4024003758704
"GTF2A1","Gtf2a1",6.634433,2.78923,4.801628,580,446,426,4.74176366666667,10.560788,11.369696,8.345493,929,1293,1093,61.1270746666667,0.0924196688396037
"GTF2A1L","Gtf2a1l",0.090551,0.378441,0.225949,2,7,9,0.231647,0.498308,0,0.179266,3,0,1,0.0120303333333333,1.21700601200689
"GTF2A2","Gtf2a2",31.644097,34.226418,37.884968,217,389,437,34.585161,231.838034,240.021195,169.70991,466,672,593,0.207052,29.4810505264065
"GTF2B","Gtf2b",13.216188,17.684425,16.8652,257,606,584,15.9219376666667,20.379872,19.36347,18.215474,315,445,448,0.047275,16.1580651373008
"GTF2E1","Gtf2e1",3.906164,7.812113,4.768664,179,396,380,5.495647,11.012711,10.051946,6.101663,250,327,308,53.9984693333333,0.11810595965192
"GTF2E2","Gtf2e2",21.140153,16.297448,23.177581,161,264,273,20.2050606666667,15.656318,12.726101,19.995035,221,288,420,3.98084,4.25732620735994
"GTF2F1","Gtf2f1",21.859603,22.461951,18.146607,515,969,795,20.8227203333333,44.427724,40.476633,33.576716,886,1325,1221,0.681390666666667,12.9789707805364
"GTF2F2","Gtf2f2",5.950099,8.460011,8.466517,116,287,291,7.62554233333333,9.756366,8.619185,7.47221,293,393,355,15.054209,0.537276070925284
"GTF2H1","Gtf2h1",18.713738,15.265966,12.768896,462,682,615,15.5828666666667,10.337293,9.954272,6.982606,275,371,304,0.151063666666667,14.4065590348174
"GTF2H2C","Gtf2h2",27.049674,24.858034,28.459342,200,317,372,26.7890166666667,12.479858,13.687647,11.34425,327,445,440,3.658342,5.96543076198928
"GTF2H3","Gtf2h3",7.539935,9.370112,8.202057,121,273,229,8.37070133333333,10.403973,14.084467,11.060114,278,391,366,33.0644083333333,0.275087746765992
"GTF2H4","Gtf2h4",21.157607,30.217215,29.501637,112,262,275,26.9588196666667,18.386727,22.48531,15.994937,234,426,292,0.964587,14.2313980834988
"GTF2H5","Gtf2h5",40.631314,44.904877,47.359364,598,1181,1242,44.2985183333333,13.683276,11.624228,12.144376,583,797,791,4.14368733333333,8.80662361411029
"GTF2I","Gtf2i",157.09292,99.98791,90.709073,3160,3733,3527,115.929967666667,409.823133,387.068366,208.619899,4029,5280,4346,5.46990033333333,18.0729163731064
"GTF2IRD1","Gtf2ird1",56.329644,33.710018,43.818669,290,394,382,44.6194436666667,34.29637,32.992693,31.767094,603,867,695,18.2375143333333,2.37137932043646
"GTF2IRD2B","Gtf2ird2",6.126444,6.135321,5.901184,208,346,329,6.05431633333333,6.588471,10.762976,4.217619,182,387,246,2.49667433333333,2.01743590076018
"GTF3A","Gtf3a",10.990969,15.346196,14.247544,166,404,371,13.5282363333333,99.46054,109.601501,107.635956,942,1429,1604,0.00671966666666667,14.4312630560179
"GTF3C1","Gtf3c1",33.368604,11.770681,10.775122,1752,1554,1564,18.6381356666667,50.00273,50.300636,40.000584,1755,2384,1872,1.96023566666667,6.6339771146599
"GTF3C2","Gtf3c2",37.081692,26.401076,29.700391,709,751,673,31.061053,34.40514,45.212754,35.437835,555,809,755,703.230637,0.0455263536056583
"GTF3C4","Gtf3c4",8.080882,4.87456,4.733209,805,923,856,5.896217,4.066742,3.91491,2.860328,524,698,538,0.162257333333333,5.93346826233548
"GTF3C5","Gtf3c5",5.581161,5.501817,5.850767,207,379,394,5.64458166666667,31.327422,35.223783,28.754778,512,777,727,5.58846866666667,1.00851685009658
"GTF3C6","Gtf3c6",28.522808,22.979193,28.791616,209,407,447,26.764539,35.213526,37.866084,37.217986,330,479,500,43.2532193333333,0.627401563508095
"GTPBP1","Gtpbp1",31.111717,14.151188,22.67161,581,743,775,22.6448383333333,28.255795,34.755611,28.340741,813,1264,1050,9.45645933333333,2.26126622593537
"GTPBP10","Gtpbp10",5.305599,3.730747,2.715735,121,174,161,3.91736033333333,7.979266,7.871169,7.971878,240,335,333,0.174083,4.18825613975616
"GTPBP2","Gtpbp2",40.581116,23.165668,26.760122,546,698,609,30.1689686666667,40.625852,38.99605,33.459124,1085,1450,1412,5.65304666666667,4.6849165845823
"GTPBP3","Gtpbp3",6.457174,7.672683,7.960035,160,321,332,7.36329733333333,29.600796,29.724147,26.708003,461,657,729,0.102701333333333,7.5843721962792
"GTPBP4","Gtpbp4",22.566158,27.466182,28.126106,544,916,820,26.0528153333333,32.558916,39.745537,33.67419,731,1051,956,2.93482233333333,6.8752317237195
"GTPBP6","Gtpbp6",15.32348,27.687475,23.707007,171,458,456,22.2393206666667,13.860698,11.935832,11.046305,387,468,472,16.1683173333333,1.35361667747987
"GTPBP8","Gtpbp8",9.234097,8.284614,7.790913,303,512,522,8.43654133333333,9.285798,7.922098,7.697718,150,198,204,158.006431333333,0.0593469160599613
"GTSE1","Gtse1",0.182566,0.042791,0.126522,7,3,9,0.117293,0.387716,0.161794,0.285462,18,6,14,199.224706666667,0.00558019546438924
"GTSF1","Gtsf1",0.170462,0.071828,0.078269,1,1,1,0.106853,0.131472,0.031646,0.09111,3,1,3,1.190405,0.505318879385319
"GTSF1L","Gtsf1l",0.107931,0.060766,0.119635,1,1,2,0.0961106666666667,0,0,0,0,0,0,18.7896266666667,0.0553881427441447
"GUCA1A","Guca1a",0.099518,0.05452,0.161075,1,1,3,0.105037666666667,4.162558,2.656254,4.767123,97,85,160,20.1282306666667,0.0523014768297683
"GUCA1B","Guca1b",0.087966,0.203552,0.104981,2,8,4,0.132166333333333,2.076794,2.146962,1.817706,74,104,93,2.75741833333333,0.30131495428377
"GUCA2A","Guca2a",0,0.099318,0,0,1,0,0.033106,0,0,0,0,0,0,134.304330333333,0.00763542450899287
"GUCA2B","Guca2b",0,0.096485,0,0,1,0,0.0321616666666667,0,0.117168,0,0,1,0,11.1309023333333,0.0850853166817187
"GUCD1","Gucd1",6.312624,3.922191,4.751419,174,264,298,4.99541133333333,15.908062,17.303413,13.054599,312,426,367,67.9804553333333,0.0869146384198508
"GUCY1A1","Gucy1a1",29.458165,15.15939,17.876758,1185,1432,1281,20.8314376666667,3.873657,2.793268,2.010982,215,238,190,0.0597163333333333,20.6012090027866
"GUCY1B1","Gucy1b1",46.322237,38.110243,33.05731,2196,3121,2684,39.1632633333333,5.893824,4.554059,4.780025,251,264,267,66.3428606666667,0.596399721302801
"GUCY2C","Gucy2c",0.384093,0.125875,0.213639,23,13,23,0.241202333333333,0,0.033107,0,0,2,0,4.987417,0.207301801984618
"GUCY2D","Gucy2e",0.467756,0.278847,0.370138,53,65,82,0.372247,1.062308,1.791764,1.276492,11,22,19,1.69582,0.509027679889607
"GUCY2F","Gucy2f",0.155994,0.050035,0.055158,20,11,12,0.0870623333333333,0,0,0,0,0,0,29.40186,0.0357564416563109
"GUCY2GP","Gucy2g",1.208158,1.460712,1.046744,71,154,112,1.238538,0,0,0,0,0,0,3.904551,0.456420577541145
"GUF1","Guf1",5.551183,4.722169,3.742638,295,371,331,4.67199666666667,9.688001,7.985183,9.408171,478,570,609,11.1266433333333,0.467730146814466
"GUK1","Guk1",62.345087,142.980528,146.40786,563,1480,1761,117.244491666667,450.982928,541.458408,600.770184,1275,2061,2342,0,118.244491666667
"GULP1","Gulp1",2.425328,3.128299,3.511644,57,108,92,3.021757,4.092464,2.367361,1.984732,113,83,93,0.0140903333333333,3.96587647845968
"GUSB","Gusb",6.799383,7.085356,6.394154,170,315,311,6.759631,11.077222,11.438861,9.650638,191,263,229,49.8826246666667,0.152500604102747
"GXYLT1","Gxylt1",2.665776,0.641675,0.502621,224,99,79,1.270024,0.846991,0.47218,0.380337,102,77,65,9.19251066666667,0.222714900600873
"GXYLT2","Gxylt2",0.383994,0.129204,0.209727,44,26,28,0.240975,0.995084,0.523085,0.491512,47,18,21,0.0774193333333333,1.15180316670266
"GYPA","Gypa",0,0.02234,0,0,1,0,0.00744666666666667,9.670207,2.403085,6.49772,12,9,14,10.408837,0.088304063478746
"GYPC","Gypc",0.615116,0.813171,1.036696,18,35,58,0.821661,3.039479,2.067363,1.325395,41,37,25,6.74350766666667,0.235250106078111
"GYS1","Gys1",4.46101,3.156569,3.940076,222,312,305,3.85255166666667,33.0668,40.811837,30.251599,631,1031,1200,10.6791156666667,0.415489648802462
"GYS2","Gys2",0.025757,0,0.014402,1,0,1,0.0133863333333333,0,0.058889,0,0,4,0,3.94377666666667,0.204982223441863
"GZF1","Gzf1",8.857607,9.143858,9.089335,550,975,866,9.03026666666667,10.274108,11.61955,14.093836,363,539,505,0.144494666666667,8.76392608790372
"GZMA","Gzma",0,0.115244,0.056888,0,2,1,0.0573773333333333,0,0,0,0,0,0,9.99305,0.0961859841748499
"GZMH","Gzmf",0,0,0,0,0,0,0,0,0,0,0,0,0,1.21148933333333,0.452183958080738
"GZMK","Gzmk",0.11778,0.101156,0.099521,2,3,3,0.106152333333333,0,0,0,0,0,0,34.6857253333333,0.0309970533876216
"H2AC1","H2ac15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.074747,0.930451538827278
"H2AC11","Hist1h2an",0,0,0,0,0,0,0,0.031913,0.021509,0.086248,1,1,4,8.875102,0.101264776809394
"H2AC12","H2ac12",0,0,0,0,0,0,0,0,0,0,0,0,0,1.705956,0.369555159063932
"H2AC15","H2ac6",0.291833,0.339689,0.349413,10,21,22,0.326978333333333,0.700725,0.168768,0.573705,3,1,4,23.83006,0.0534424134832269
"H2AC16","H2ac8",0,0.099389,0,0,1,0,0.0331296666666667,0,0,0,0,0,0,0.0113336666666667,1.02155173976541
"H2AC17","H2ac7",0.274575,0,0,1,0,0,0.091525,0,0,0,0,0,0,4.41959333333333,0.201403487838571
"H2AC20","H2ac20",0.527922,0,0.29587,2,0,2,0.274597333333333,0,0,0,0,0,0,1.12132866666667,0.600848587661884
"H2AC21","H2ac21",0,0.19713,0,0,1,0,0.06571,0,0,0.158044,0,0,1,111.929697666667,0.00943693308332096
"H2AC4","H2ac11",0,0,0,0,0,0,0,0,0,0,0,0,0,24.7567596666667,0.0388247595171748
"H2AC6","Hist1h2ao",0,0,0,0,0,0,0,1.879401,1.164996,0.851913,45,38,28,2.35259333333333,0.298276558047601
"H2AC7","H2ac4",0,0.264371,0,0,2,0,0.0881236666666667,0,0,0,0,0,0,21.6049713333333,0.048136476291926
"H2AC8","H2ac13",0,0,0,0,0,0,0,0.437698,0.319754,0.759164,2,2,5,7.23529466666667,0.121428563333334
"H2AP","H2ap",0,0,0,0,0,0,0,0,0,0,0,0,0,16.1678473333333,0.0582484210503425
"H2AW","H2aw",9.918325,7.656603,8.158375,304,416,445,8.57776766666667,6.978569,9.102209,6.887496,77,139,114,3.126171,2.32122412441624
"H2BC1","H2bc1",0,0,0,0,0,0,0,0,0,0,0,0,0,8.57890033333333,0.104396117007307
"H2BC10","H2bc4",13.881465,23.41543,25.047197,192,570,570,20.781364,0,0.183745,0,0,1,0,0.118836333333333,19.4678733171876
"H2BC11","H2bc21",2.672295,2.023779,2.567029,102,135,173,2.42103433333333,1.490905,0.715637,0.502847,5,3,7,27.3357423333333,0.120732123164069
"H2BC12","H2bc12",0,0.268541,0.281406,0,2,2,0.183315666666667,2.619549,2.196619,1.960967,11,13,12,5.16199533333333,0.19203449575262
"H2BC13","H2bc7",0,0,0,0,0,0,0,0,0,0.165449,0,0,1,0.284883333333333,0.778280777761924
"H2BC15","H2bc14",0,0.141811,0,0,1,0,0.0472703333333333,1.616132,0.865154,1.353623,25,43,46,148.826565333333,0.00698988414373227
"H2BC17","Hist1h2bp",0,0.302564,0.379965,0,2,3,0.227509666666667,0,0,0,0,0,0,26.45393,0.0447116193079339
"H2BC3","H2bc3",0,0,0.333784,0,0,3,0.111261333333333,0,0,0,0,0,0,6.18710666666667,0.154618733917961
"H3C2","H3c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.412367333333333,0.708031102390266
"H3C4","H3c1",0,0,0,0,0,0,0,0,0,0,0,0,0,31.348888,0.0309129636851814
"H4C15","H4c1",0,0,0,0,0,0,0,1.745544,1.059768,0.991678,35,22,29,0.005693,0.994339226781931
"H6PD","H6pd",2.648761,0.890917,1.17941,129,113,113,1.57302933333333,2.673363,2.715705,1.809025,386,538,378,1.55194533333333,1.00826193246564
"HAAO","Haao",0,0.064613,0.258241,0,1,3,0.107618,1.208522,0.199897,0.475123,12,3,6,36.0909956666667,0.0298621802971821
"HABP2","Habp2",0.048343,0,0,2,0,0,0.0161143333333333,0,0,0,0,0,0,2.97437433333333,0.255666489392083
"HABP4","Habp4",86.845886,91.468049,93.169478,2260,4314,4309,90.494471,25.18954,25.607305,28.040083,989,1382,1674,0,91.494471
"HACD1","Hacd1",5.942501,6.994939,6.213881,65,135,121,6.38377366666667,17.140816,16.629354,17.366997,135,169,186,77.007302,0.0946549038020398
"HACD2","Hacd2",27.145924,29.191829,31.334003,466,743,700,29.2239186666667,9.140854,6.7094,5.854995,454,505,509,0.462488,20.6660968614215
"HACD3","Hacd3",55.611429,55.899392,53.234136,2202,3870,3716,54.9149856666667,88.282427,94.942766,76.980801,4225,5873,5380,33.5586823333333,1.6179721532014
"HACD4","Hacd4",0.856846,0.736259,0.674543,61,91,77,0.755882666666667,0.258675,0.105258,0.249898,24,19,39,99.3623356666667,0.0174954344675524
"HACE1","Hace1",14.671518,16.818219,11.48706,557,753,644,14.325599,6.867154,5.069761,5.838881,307,312,370,55.393129,0.271763586659644
"HACL1","Hacl1",11.548375,12.272643,16.871931,68,136,165,13.5643163333333,4.877953,5.190673,5.200303,114,189,166,0.343132333333333,10.8435453245237
"HADH","Hadh",10.9782,18.832772,14.973018,274,612,673,14.9279966666667,15.583382,15.417324,14.943981,369,457,450,0.374977666666667,11.5841857310167
"HADHA","Hadha",71.190737,76.856297,75.637861,766,1454,1486,74.5616316666667,52.586848,42.514248,39.666429,2091,2341,2318,15.771778,4.50528451227214
"HADHB","Hadhb",101.993845,131.672411,127.350124,1050,2433,2401,120.338793333333,25.647685,17.71078,20.105148,598,645,684,134.498985,0.895495957651147
"HAGH","Hagh",92.067417,129.080308,143.42839,607,1449,1622,121.525371666667,59.665975,68.354362,65.745692,676,1007,1058,45.277469,2.64762473649254
"HAGHL","Haghl",43.202594,55.866284,59.663973,580,1489,1642,52.9109503333333,18.859401,19.613842,22.118465,156,204,278,63.875543,0.830990352301688
"HAL","Hal",0.355756,0.139733,0.006869,1,1,1,0.167452666666667,0.032426,0,0.016741,2,0,1,31.9976603333333,0.0353798619318273
"HAMP","Hamp",0,0,0,0,0,0,0,0.536379,0.265296,0.788676,8,10,8,0,1
"HAND1","Hand1",0,0,0,0,0,0,0,0,0,0,0,0,0,15.3105306666667,0.0613100836776371
"HAND2","Hand2",0,0,0,0,0,0,0,33.518161,4.057019,8.441602,739,120,308,0.0137663333333333,0.986420605142737
"HAO1","Hao1",0.034485,0,0,1,0,0,0.011495,0,0,0,0,0,0,9.72202533333333,0.0943380535443615
"HAO2","Hao2",0,0,0,0,0,0,0,0.041299,0,0,1,0,0,0.516194,0.659546205828542
"HAP1","Hap1",84.355438,68.502348,65.643753,2363,3956,3734,72.8338463333333,37.43378,41.420354,39.615365,1430,2057,2217,18.5043093333333,3.78551452766131
"HAPLN1","Hapln1",6.970959,7.159501,7.158415,294,448,332,7.09629166666667,0.953498,1.3876,1.424897,30,55,73,4.904885,1.37111758597613
"HAPLN2","Hapln2",11.545143,16.39747,23.828632,235,449,619,17.2570816666667,3.302391,2.475234,4.179119,32,34,79,1.50898733333333,7.27667351050796
"HAPLN3","Hapln3",0.267564,0.467932,0.390851,9,24,20,0.375449,1.977797,0.654749,0.821871,57,20,31,4.15419733333333,0.266859980525904
"HAPLN4","Hapln4",28.825556,18.460092,48.63946,1443,1765,2024,31.975036,5.52739,2.556111,5.445732,313,240,565,24.6757206666667,1.2842886253553
"HARBI1","Harbi1",2.36907,3.402488,3.937048,65,106,119,3.236202,3.468114,2.84092,2.323842,81,95,85,8.20500066666667,0.460206593503053
"HARS2","Hars2",18.087157,10.83847,13.66783,237,385,397,14.197819,12.11657,14.878406,13.276835,385,582,563,0.195694666666667,12.7104514418954
"HAS1","Has1",0.359394,0.344016,0.442945,11,19,25,0.382118333333333,6.765554,4.009682,3.733884,109,85,126,14.2367713333333,0.0907093965707608
"HAS2","Has2",0.128173,0.01871,0.047808,8,2,5,0.064897,0.019449,0.028121,0.024146,1,3,2,12.017598,0.0818044158376991
"HAS3","Has3",0.446483,0.279092,0.159619,31,42,22,0.295064666666667,5.785936,9.000338,7.128961,395,758,661,18.718088,0.0656790185065949
"HASPIN","Haspin",0,0.027826,0.027204,0,2,2,0.0183433333333333,0.072351,0.017543,0.01579,3,1,1,0.0234476666666667,0.99501260934039
"HAT1","Hat1",25.577472,33.981259,31.042108,202,355,375,30.2002796666667,8.280674,7.675931,6.720975,192,257,228,9.212167,3.05520656552783
"HAUS1","Haus1",4.839812,5.969566,5.397641,87,155,133,5.40233966666667,18.611441,22.030705,12.531338,103,142,120,0.012679,6.32218073710096
"HAUS2","Haus2",7.588969,7.17948,6.454877,347,563,493,7.074442,14.643916,17.0803,13.34148,527,815,727,0.0190773333333333,7.92328681630966
"HAUS3","Haus3",13.600556,9.985758,10.401994,71,90,98,11.329436,3.887106,2.930873,2.813266,225,243,244,2.15030133333333,3.9137322736534
"HAUS4","Haus4",7.938536,6.054142,6.61796,26,51,50,6.87021266666667,4.500083,4.036108,2.769136,29,36,30,0.495059,5.26414854976738
"HAUS5","Haus5",3.274803,4.077088,2.570011,46,106,99,3.30730066666667,6.439309,4.757963,5.537826,150,199,218,0.510310333333333,2.85193087248515
"HAUS7","Haus7",5.410307,6.417093,9.071925,60,126,168,6.96644166666667,12.672328,15.534779,14.685237,78,117,121,0.750029,4.55217694487729
"HAUS8","Haus8",19.57102,12.008469,15.215184,105,149,187,15.5982243333333,0.704609,0.893011,0.7621,17,24,23,15.9859413333333,0.977174241192089
"HAVCR1","Havcr1",0.037622,0,0.112228,1,0,1,0.04995,0.719436,0.083136,0.261283,6,3,5,4.194463,0.202128689722114
"HAVCR2","Havcr2",0.983246,0.289974,0.600927,37,20,41,0.624715666666667,1.05128,0.784135,0.554028,27,31,25,0.640309333333333,0.99049345977019
"HAX1","Hax1",106.792986,132.855125,125.760304,387,955,899,121.802805,34.511433,33.880057,32.75028,480,658,646,3.902933,25.0468046371427
"HBEGF","Hbegf",4.762225,6.245448,4.845115,137,263,265,5.28426266666667,17.127345,15.377555,16.143454,609,731,845,4.40917933333333,1.16177746741373
"HBP1","Hbp1",10.126836,9.819928,10.553761,255,496,525,10.1668416666667,15.885205,9.793296,12.011694,263,228,263,14.4673423333333,0.721962534093608
"HBS1L","Hbs1l",21.510586,14.40754,14.479263,565,856,676,16.7991296666667,38.998483,33.056925,31.690002,739,794,825,0.209426333333333,14.717001917438
"HCAR1","Hcar1",0.572956,0.493402,0.531291,28,43,47,0.532549666666667,0.169441,0.106617,0.109493,13,11,12,21.544681,0.0679783256488156
"HCAR3","Hcar2",0.073555,0.041425,0.04078,2,2,2,0.05192,0,0,0,0,0,0,3.42446966666667,0.237750528142394
"HCCS","Hccs",8.409603,8.679983,7.071953,269,489,375,8.05384633333333,7.877701,7.528802,7.266658,206,286,281,0.794600333333333,5.04504884188699
"HCFC1","Hcfc1",24.801727,4.652316,7.029487,1700,642,921,12.1611766666667,16.444495,19.786799,11.945132,1203,1694,1279,4.86535166666667,2.24388534816469
"HCFC1R1","Hcfc1r1",72.613268,103.08159,100.945532,514,1387,1365,92.2134633333333,99.148689,99.343867,96.829378,690,949,1002,1.79242666666667,33.380809761641
"HCFC2","Hcfc2",15.503419,12.454492,7.368065,470,499,437,11.7753253333333,4.896356,4.458536,4.601058,297,413,406,0.0371516666666667,12.3177021682782
"HCK","Hck",0.841755,0.830422,0.843915,22,39,45,0.838697333333333,0.030982,0.188768,0.085703,1,6,4,9.56219833333333,0.174082825876368
"HCLS1","Hcls1",1.780829,1.722804,2.135011,43,75,91,1.879548,0.058351,0.031838,0.040607,1,1,1,28.2449743333333,0.0984630031532597
"HCN1","Hcn1",7.123092,1.875049,1.714925,1528,691,588,3.571022,31.111348,7.632765,24.271442,360,956,946,7.437869,0.541727064025289
"HCN2","Hcn2",50.396977,40.453646,42.685291,1720,2764,3076,44.5119713333333,19.344865,22.380201,26.167221,734,1192,1740,0.085467,41.9284707258105
"HCN3","Hcn3",4.513662,2.634114,4.1618,136,184,207,3.76985866666667,36.826412,31.507533,34.157508,1010,1305,1273,13.6137853333333,0.326394466448529
"HCN4","Hcn4",1.933303,0.902957,0.917782,166,147,154,1.25134733333333,5.262054,9.317012,5.596574,526,1294,910,34.8416963333333,0.0628136378478143
"HCRT","Hcrt",10.394989,18.715363,16.552574,53,193,177,15.2209753333333,3.713359,1.361414,1.653838,16,8,13,10.2102373333333,1.44697876155581
"HCRTR1","Hcrtr1",1.171883,1.826912,1.734806,36,98,89,1.577867,9.626442,3.33685,3.08075,235,101,114,0,2.577867
"HCRTR2","Hcrtr2",0.929997,0.688605,0.803735,49,63,68,0.807445666666667,7.838261,13.470152,9.417619,214,505,371,0.150045333333333,1.57162992995059
"HCST","Hcst",0,0.5875,0.699816,0,3,4,0.429105333333333,0.584084,0.63629,1.007059,2,3,5,10.847918,0.120620798804763
"HDAC1","Hdac1",13.534995,11.462006,12.540798,267,512,553,12.5125996666667,20.064434,20.212904,15.757916,317,457,362,2.61597,3.7369225039662
"HDAC10","Hdac10",2.453115,3.82849,3.061606,87,182,169,3.11440366666667,34.466996,38.33687,30.791724,453,736,653,1.765907,1.48754230227794
