Mm_genes,Hs_genes
H1f6,None
Znrd1as,None
Leap2,LEAP2
Pdzrn4,None
Ska1,SKA1
Kctd1,KCTD1
Agr3,AGR3
Ube2r2,UBE2R2
Armh4,ARMH4
Tbc1d21,TBC1D21
Gmip,GMIP
Rbm43,RBM43
Trpm8,TRPM8
Igfbp7,IGFBP7
Pnpla8,PNPLA8
Fstl4,FSTL4
Edc4,EDC4
Lrrk2,LRRK2
X9530068E07Rik,None
Macrod1,MACROD1
Snapc4,SNAPC4
Naa30,NAA30
Noa1,NOA1
Ap5m1,AP5M1
Gramd1c,GRAMD1C
Lrrn3,LRRN3
Slc2a13,SLC2A13
BC031181,None
Zdhhc23,ZDHHC23
Lzts1,LZTS1
Skp1a,None
Znrd1,None
H2.Ea.ps,None
Srp72,None
Qsox2,QSOX2
Slc18a1,SLC18A1
Kidins220,None
Igsf10,IGSF10
Tmem260,TMEM260
Ubac1,UBAC1
P2ry12,P2RY12
Csgalnact1,CSGALNACT1
Gpr101,GPR101
P2ry13,None
Rmdn2,RMDN2
Serbp1,SERBP1
Tmem258,TMEM258
Abt1,ABT1
C530008M17Rik,None
P2ry14,P2RY14
Gadd45a,GADD45A
Sec24a,SEC24A
Glb1l2,GLB1L2
Ppp1r11,PPP1R11
Glt6d1,GLT6D1
Gng12,GNG12
Cep135,CEP135
X9530077C05Rik,None
Arsi,ARSI
Pcdh8,PCDH8
Gpi1,None
Tbcc,TBCC
Siah2,SIAH2
Exoc1,EXOC1
Npy1r,NPY1R
Calm2,CALM2
Thap11,THAP11
Lum,LUM
Lcn8,LCN8
Hif1an,HIF1AN
Arhgap26,ARHGAP26
Wtip,WTIP
Elf1,ELF1
X4930544G11Rik,None
Megf11,MEGF11
March1,None
Tbc1d24,TBC1D24
Btg1,BTG1
Prss56,PRSS56
Rnf39,None
Eea1,EEA1
Akp3,None
Fam13b,FAM13B
Tmem255a,TMEM255A
Rnf13,RNF13
Phpt1,PHPT1
Cdh8,CDH8
Commd2,COMMD2
Scgb2b2,None
Greb1,GREB1
Card11,CARD11
Ppfibp2,PPFIBP2
Sbf1,SBF1
Cdc42ep3,CDC42EP3
Slc38a7,SLC38A7
Rnf113a1,None
Adamts2,ADAMTS2
Cnot1,CNOT1
Akap14,None
Ermard,None
Sh3tc1,None
Iqce,IQCE
Stpg4,STPG4
Lgi4,LGI4
Ppp6r2,PPP6R2
Ndrg4,NDRG4
Ttyh3,TTYH3
Bicral,BICRAL
Fxyd1,FXYD1
Upf3b,None
Tex44,TEX44
Fxyd7,FXYD7
Spg20,None
Fgf1,FGF1
Grifin,GRIFIN
Fut7,FUT7
Arhgap21,ARHGAP21
H2.Aa,None
Cpz,CPZ
Ccdc113,CCDC113
Chst12,CHST12
Alx1,ALX1
Plxnb2,PLXNB2
Eepd1,EEPD1
Eipr1,EIPR1
Rfxap,RFXAP
Etl4,None
Mgat4b,MGAT4B
Atp13a2,ATP13A2
Alg5,ALG5
Mag,MAG
Clcn7,CLCN7
Nudt1,NUDT1
Ccdc148,CCDC148
Tbc1d9b,TBC1D9B
Man1b1,MAN1B1
Olfr6,None
Colec11,COLEC11
Olfr11,OR2B6
Dennd3,DENND3
Tcaf1,TCAF1
Cenpt,CENPT
Tmtc3,TMTC3
Aaas,AAAS
Cc2d1a,CC2D1A
Tmem184a,TMEM184A
Nop14,NOP14
Ago2,AGO2
Zcchc12,ZCCHC12
Cab39,CAB39
Cyld,CYLD
Micall2,MICALL2
Zscan12,ZSCAN12
Cysrt1,CYSRT1
Rbm42,RBM42
Oxsr1,OXSR1
Psma8,PSMA8
Olfr701,None
Ttll7,TTLL7
Cuedc2,CUEDC2
Pramel5,None
Cox6b1,COX6B1
Tubb4b,TUBB4B
Kcnk9,KCNK9
Dnajc12,DNAJC12
Dner,DNER
Kif15,KIF15
Wdr44,WDR44
Stpg3,STPG3
Decr2,DECR2
Anln,ANLN
Tent4b,TENT4B
Rps27l,RPS27L
Klhl13,KLHL13
Slitrk2,SLITRK2
Mbd5,MBD5
Fam135b,FAM135B
Noxa1,NOXA1
Cnep1r1,CNEP1R1
Entpd8,ENTPD8
Dpp10,DPP10
Atoh7,ATOH7
Sun1,SUN1
Jmjd4,JMJD4
Amdhd2,AMDHD2
Topors,TOPORS
Ssx2ip,SSX2IP
Igflr1,IGFLR1
Lpar3,LPAR3
Pnpla7,PNPLA7
Plch1,PLCH1
Psenen,PSENEN
Siah1a,SIAH1
Lin37,LIN37
Mrpl41,MRPL41
Mcoln3,MCOLN3
Hspb6,HSPB6
Gjd4,GJD4
Wnt4,WNT4
Ptcra,PTCRA
Mrpl55,MRPL55
Dchs1,DCHS1
Syde2,None
Proser3,PROSER3
Smad6,SMAD6
Abcc12,ABCC12
X2410004B18Rik,None
Dna2,DNA2
Phkb,PHKB
Acaa2,ACAA2
Arhgap33,ARHGAP33
Arhgef26,None
C1qa,C1QA
Gtdc1,GTDC1
Prodh2,PRODH2
Ehmt1,EHMT1
Rap2b,RAP2B
C1qc,C1QC
Zfp157,None
Trpv5,TRPV5
Neto2,NETO2
Fzd8,FZD8
C1qb,C1QB
C1ql2,C1QL2
Unc93b1,UNC93B1
Piwil4,PIWIL4
Trim67,TRIM67
Kirrel2,KIRREL2
Zfp280c,None
Ttc7,None
Tex46,None
Stox1,STOX1
Cst13,CST13P
Mucl2,None
Stag3,STAG3
Nfkbid,NFKBID
Aifm1,AIFM1
X4921524J17Rik,None
Try5,None
Kdm1a,KDM1A
Elac1,ELAC1
Rab8b,RAB8B
Tmem71,TMEM71
Map11,None
Slc39a12,SLC39A12
Aadacl2fm1,None
Kif1bp,None
Lrfn3,LRFN3
Cst11,CST11
Bcorl1,BCORL1
Clca2,CLCA2
Wnt8b,WNT8B
Cfap221,CFAP221
Trim17,TRIM17
Spryd3,None
Cnpy4,CNPY4
Zic4,ZIC4
Tmem177,TMEM177
Anapc10,ANAPC10
Taf6,TAF6
Tfb1m,TFB1M
Zdhhc9,ZDHHC9
Pml,PML
Trim3,TRIM3
Otud4,OTUD4
Nxt1,NXT1
Asap3,ASAP3
Zfp39,ZNF717
Tns2,TNS2
Xpnpep2,XPNPEP2
Zfp113,None
Apln,APLN
Hk1,HK1
Ss18,SS18
Sstr4,SSTR4
Frem2,FREM2
Zscan21,ZSCAN21
Wdr62,WDR62
Mmaa,MMAA
Foxa2,FOXA2
Gm12800,None
Zfp146,None
Tspan15,TSPAN15
Apbb1,APBB1
Clca3b,None
Pax1,PAX1
Inhbb,INHBB
Smpd1,SMPD1
Azgp1,AZGP1
Paip2,PAIP2
Cavin3,CAVIN3
Sh3glb1,SH3GLB1
Rbmxl1,None
Selenof,SELENOF
Rnf139,RNF139
Trmt12,TRMT12
Prr32,PRR32
Slc35b2,SLC35B2
Lrg1,None
Rab11fip3,RAB11FIP3
Ttc29,TTC29
Dcaf15,DCAF15
Socs5,SOCS5
Fer1l6,None
Zcwpw1,ZCWPW1
Ralgapa2,RALGAPA2
Setd7,SETD7
Sik2,SIK2
Fam91a1,FAM91A1
Trim58,TRIM58
Psd,PSD
Tmprss13,TMPRSS13
H2.M10.6,None
Prmt9,PRMT9
Aff3,AFF3
Myom3,MYOM3
Tas2r108,None
Cfap61,CFAP61
X2210407C18Rik,None
Arhgap10,ARHGAP10
Ddx1,DDX1
Lrrc20,LRRC20
Ndufc1,NDUFC1
Il22ra1,IL22RA1
Wee2,WEE2
Mgarp,MGARP
Ppp1r14a,PPP1R14A
Spaca5,SPACA5B
Mycn,MYCN
Nodal,NODAL
E330009J07Rik,None
Elf2,ELF2
Krt80,KRT80
Grhl3,GRHL3
Cyb561d2,CYB561D2
Pacrg,PACRG
Rbm17,RBM17
Prf1,PRF1
Atg101,ATG101
Islr,ISLR
Fam193a,FAM193A
Spry1,SPRY1
Thap1,THAP1
Lipt1,LIPT1
Syn1,SYN1
Mospd3,MOSPD3
Zfyve28,ZFYVE28
Fgf2,FGF2
Hook3,HOOK3
Mxd4,MXD4
Matr3,MATR3
Spred3,SPRED3
Clic4,CLIC4
Zfp692,None
H2.M10.5,None
Pomk,POMK
Mex3c,MEX3C
Itih2,ITIH2
Aagab,AAGAB
Dzank1,DZANK1
Hgsnat,HGSNAT
Kin,KIN
Aldh3b3,ALDH3B2
Rsrp1,RSRP1
X4932438A13Rik,None
Gemin5,GEMIN5
Tmem97,TMEM97
Ovol2,OVOL2
Galnt6,GALNT6
Stag1,STAG1
Tbcel,TBCEL
Ldlrap1,LDLRAP1
Lsm1,LSM1
Ttc13,None
Man1c1,None
Banf2,BANF2
Tacc3,TACC3
Jade3,JADE3
Bag4,BAG4
Traf3ip3,TRAF3IP3
Tap1,TAP1
Bbs7,BBS7
Capn15,CAPN15
Larp1,LARP1
H2.M1,None
Hand1,HAND1
Mfsd2b,MFSD2B
Map4k1,MAP4K1
Fam53a,FAM53A
Slc9a7,SLC9A7
Taf2,TAF2
Slc12a9,SLC12A9
Hrh4,HRH4
Chst7,CHST7
Paqr7,PAQR7
Nudt22,NUDT22
Actr1b,ACTR1B
Letmd1,LETMD1
Uvssa,UVSSA
Dipk2b,DIPK2B
Sf3b6,SF3B6
Ccn3,CCN3
Letm2,LETM2
Srrt,SRRT
Pafah2,PAFAH2
Kdm6a,KDM6A
Enpp1,ENPP1
Ctbp1,CTBP1
Hhat,HHAT
Trmt6,TRMT6
Spon2,SPON2
Rims2,RIMS2
Muc3,None
Nmur2,NMUR2
Rcor3,RCOR3
Atp11b,None
Icam1,ICAM1
Htra4,HTRA4
Cnnm4,CNNM4
Tbc1d2b,TBC1D2B
Serpine1,SERPINE1
Ranbp10,RANBP10
Dmxl1,DMXL1
Best1,BEST1
Endod1,ENDOD1
Taar9,TAAR9
Depdc5,DEPDC5
Vgf,VGF
Fer1l5,FER1L5
Slc30a1,SLC30A1
Adam32,ADAM32
Vnn1,VNN1
Cep85,CEP85
Tulp1,TULP1
Arid5a,ARID5A
Slc22a20,SLC22A20P
Slc18b1,SLC18B1
Azin1,AZIN1
Ints7,INTS7
Fbxo27,FBXO27
Klf10,KLF10
Tedc1,TEDC1
Acp7,ACP7
Uggt1,UGGT1
Dtl,DTL
Thoc2,THOC2
Tbx10,TBX10
Erv3,None
Asxl2,ASXL2
Ubr5,UBR5
Slc2a12,SLC2A12
Zmat4,ZMAT4
Cib2,CIB2
Nenf,NENF
Fam168b,FAM168B
Arhgef4,ARHGEF4
Pank2,None
Ppfia1,None
Mavs,MAVS
Bcdin3d,BCDIN3D
Atg14,ATG14
Prss40,PRSS40B
Mrpl47,MRPL47
Rapgef6,None
Fbxo34,FBXO34
H2.M11,None
Shank2,SHANK2
Aldh8a1,ALDH8A1
Dlgap5,DLGAP5
H2.DMb2,None
Plekhg2,PLEKHG2
Zdhhc18,ZDHHC18
Rps16,RPS16
Vash2,VASH2
Mcrs1,MCRS1
Wdhd1,WDHD1
Tob1,TOB1
Ephx3,EPHX3
Pkd2l1,PKD2L1
Kcnh3,KCNH3
Gch1,GCH1
Nr0b2,NR0B2
Rskr,RSKR
Clba1,CLBA1
Kdf1,KDF1
Nme1,NME1
Adgrl3,ADGRL3
Osbpl5,OSBPL5
Bclaf1,BCLAF1
Kcnmb2,KCNMB2
Tnfrsf23,None
Spag1,SPAG1
Atoh8,ATOH8
Wdtc1,WDTC1
Kcnk2,KCNK2
Cldn11,CLDN11
Rgs22,RGS22
Cdkn3,CDKN3
Slc25a43,SLC25A43
Zbtb42,ZBTB42
Zfp60,None
Prkci,PRKCI
Vps13b,VPS13B
H2.DMa,None
Phc3,PHC3
Kctd8,KCTD8
Slc20a2,SLC20A2
Gdf7,GDF7
Gpr160,GPR160
Cdkn1c,CDKN1C
Ldah,LDAH
Rfx7,None
Inf2,INF2
Esyt3,ESYT3
Armc3,ARMC3
Atp8a1,ATP8A1
Aspg,ASPG
Tmem247,TMEM247
Ahdc1,AHDC1
Ddhd1,DDHD1
Lzts3,LZTS3
Tecta,TECTA
Cd81,CD81
Spag6,SPAG6
Fam13a,FAM13A
Cisd1,CISD1
Fermt2,FERMT2
Ccdc33,CCDC33
Tmem33,TMEM33
Gnpnat1,GNPNAT1
Ckap2,CKAP2
Avp,AVP
Mynn,MYNN
Themis2,THEMIS2
Limch1,LIMCH1
Actrt3,ACTRT3
Nek5,NEK5
Mrps26,MRPS26
Eef1a1,EEF1A1
Phyhipl,PHYHIPL
Fam222b,FAM222B
Xkr8,XKR8
Ppp1r16b,PPP1R16B
Ptger2,PTGER2
Actr5,ACTR5
Slc16a9,SLC16A9
Slc32a1,SLC32A1
Mrpl23,MRPL23
Pced1a,PCED1A
Mbl1,MBL1P
Dzip1l,DZIP1L
Apopt1,None
Vopp1,VOPP1
Defb7,None
Phf12,PHF12
N4bp2,None
Adh4,ADH4
Mat1a,MAT1A
Iqch,IQCH
Rpl10a,RPL10A
Fam76b,FAM76B
D630003M21Rik,None
Ctnna1,CTNNA1
Fbxw17,None
Abhd18,ABHD18
Tgm2,TGM2
Smim14,SMIM14
Tspan14,TSPAN14
Ppm1k,PPM1K
Sh2d4b,SH2D4B
Vstm2l,VSTM2L
Fdxacb1,FDXACB1
Rtkn2,RTKN2
Nmrk1,NMRK1
Ifi206,None
Iars,None
Cpe,CPE
Zfp365,None
Nufip2,NUFIP2
Aim2,AIM2
Egr2,EGR2
Ackr1,ACKR1
Jmjd1c,JMJD1C
Stk35,STK35
Dusp8,DUSP8
Wdr19,WDR19
Pcdh18,PCDH18
H2afz,None
Rcor1,RCOR1
Sirpa,SIRPA
Ankrd9,ANKRD9
Bri3bp,BRI3BP
Ankrd13b,ANKRD13B
Tmem156,None
Ndufv1,NDUFV1
Ddx60,None
Bank1,BANK1
Olfr16,None
Ssh2,SSH2
Bicd2,BICD2
Smarce1,SMARCE1
Scarb1,SCARB1
Chchd5,CHCHD5
Inpp4b,INPP4B
Crp,CRP
Ccr7,CCR7
Fgd3,FGD3
Ano10,ANO10
A4gnt,A4GNT
Wdr20,None
Nsrp1,NSRP1
Card19,CARD19
Rflna,RFLNA
Zc3h7a,None
Ninj1,NINJ1
X1110032A03Rik,None
Snn,SNN
Itprid1,ITPRID1
Muc5ac,None
X6430571L13Rik,None
Ccdc92,CCDC92
Neurod6,NEUROD6
Wnk2,WNK2
Sh3rf3,SH3RF3
Rmi2,RMI2
Rara,RARA
Dhx38,None
Slc9b2,SLC9B2
Igsf9,IGSF9
Slc24a2,None
Parp11,PARP11
Arap2,ARAP2
Acd,ACD
Cramp1l,None
Hpf1,HPF1
Acer2,ACER2
Dnajc22,DNAJC22
Ccdc138,CCDC138
Dnah10,None
Wipf2,WIPF2
Fam120a,None
Prm2,PRM2
Rapgefl1,RAPGEFL1
Mindy4,MINDY4
Atp6v0a2,ATP6V0A2
Dennd4c,DENND4C
Phf2,PHF2
Kcnj9,KCNJ9
Tigar,TIGAR
Igsf8,IGSF8
Socs1,SOCS1
Gcc2,GCC2
Ptpdc1,PTPDC1
Cct8l1,None
Sult6b1,SULT6B1
Mrm3,MRM3
Haus6,None
Cntnap5c,None
Dexi,DEXI
Kmt2c,KMT2C
Dbil5,DBIL5P
Nod1,NOD1
Smim3,SMIM3
Dlec1,DLEC1
Cldn22,CLDN22
Mturn,MTURN
Csf3,CSF3
Rnf144b,RNF144B
Cdkn2aip,CDKN2AIP
Cntln,CNTLN
Npy6r,NPY6R
Galnt11,GALNT11
Fkbp14,FKBP14
Kcna6,KCNA6
Tmem237,TMEM237
Kdm1b,KDM1B
Opa1,OPA1
Cnbd2,CNBD2
Hspb2,HSPB2
Atp13a4,ATP13A4
Sbno1,SBNO1
Trappc11,TRAPPC11
AW551984,None
Ano2,ANO2
Phf20,PHF20
Cdon,CDON
Fam210a,FAM210A
Tbc1d32,TBC1D32
Mphosph9,MPHOSPH9
Ccdc50,CCDC50
Camk4,CAMK4
Rbm24,RBM24
Crygn,CRYGN
Tmem181a,None
Stox2,STOX2
Snrk,SNRK
Notch3,NOTCH3
Cd84,CD84
Cldn16,CLDN16
Ormdl3,ORMDL3
Prdm1,PRDM1
Gstp2,GSTP1
Spon1,SPON1
Atg5,ATG5
X1700022A21Rik,None
Plekhg6,PLEKHG6
P3h2,P3H2
Pde4dip,PDE4DIP
Ttc39b,TTC39B
Enpp6,ENPP6
Fam126b,FAM126B
Mylip,MYLIP
Slc43a2,SLC43A2
Slamf7,SLAMF7
Spag4,SPAG4
Chpf2,None
Btbd10,BTBD10
Scarf1,SCARF1
Cer1,CER1
Hand2,HAND2
Rilp,RILP
Iqca1l,IQCA1L
Kcna7,KCNA7
Hoxa13,HOXA13
Asb10,ASB10
Prkab2,PRKAB2
Fbxo8,FBXO8
Pgap3,PGAP3
Itln1,ITLN2
Hoxa11,HOXA11
Mfsd14b,MFSD14B
Tapbpl,TAPBPL
Bend3,BEND3
Cep44,CEP44
Pnmt,PNMT
Tlcd2,TLCD2
Serpinf2,SERPINF2
Primpol,PRIMPOL
Hoxa9,HOXA9
Gask1a,GASK1A
F11r,F11R
Hoxa7,HOXA7
Hrc,None
Pdss2,PDSS2
Cep250,CEP250
Aox4,None
Mical2,MICAL2
Fam50b,FAM50B
Sobp,SOBP
Usp38,USP38
Ncapd2,NCAPD2
Hoxa5,HOXA5
Neurod2,NEUROD2
Bcl9,BCL9
Glra3,GLRA3
Gdf5,GDF5
Trpm4,TRPM4
Sema7a,SEMA7A
Slc22a23,SLC22A23
Ovca2,OVCA2
Iffo1,IFFO1
Fau,FAU
Asic3,ASIC3
Nop2,NOP2
Ostm1,OSTM1
Bphl,BPHL
Smg6,SMG6
Snx25,SNX25
Ccdc155,None
Atg9b,ATG9B
Galnt18,GALNT18
Pdzk1,PDZK1
Wdr36,None
Pth2,PTH2
Snx10,SNX10
Afg1l,AFG1L
Cd160,CD160
Spats2l,SPATS2L
Edem2,EDEM2
Kcnh2,KCNH2
X1700066M21Rik,None
Trpc4ap,TRPC4AP
Serpinb9f,None
C87499,None
Satb2,SATB2
Sesn1,SESN1
Tsr1,TSR1
Mlxip,MLXIP
Txlng,TXLNG
Zfp384,None
Tcte2,None
Plcl1,PLCL1
Sgsm2,SGSM2
Arl5c,ARL5C
Ankrd35,None
Camp,CAMP
Fbxo25,FBXO25
Lasp1,LASP1
Focad,FOCAD
Ncoa6,NCOA6
Pcp4l1,PCP4L1
Sbf2,SBF2
Gmds,GMDS
Rbm8a,RBM8A
Trp53inp2,None
Ttk,TTK
Pigu,PIGU
Setd1b,SETD1B
Rras,RRAS
Mpp6,MPP6
Gpr162,GPR162
Txnip,TXNIP
Upf3a,None
Pmepa1,PMEPA1
Foxf2,FOXF2
Hjv,HJV
Scaf1,SCAF1
Higd1a,HIGD1A
Foxq1,FOXQ1
Cdc16,CDC16
Fig4,FIG4
Egr1,EGR1
Fcrla,FCRLA
Hdhd3,HDHD3
Poli,POLI
Usp5,USP5
Mllt6,None
Cdc40,CDC40
Spsb2,SPSB2
Srcin1,SRCIN1
Dennd2a,DENND2A
Tmem255b,TMEM255B
Abhd17c,ABHD17C
Uqcrfs1,UQCRFS1
Olfml2b,OLFML2B
Chmp4b,CHMP4B
Nos1ap,NOS1AP
Cdk19,CDK19
Tfdp1,TFDP1
Socs7,SOCS7
Sv2a,SV2A
Polr2l,POLR2L
Otud7b,OTUD7B
Slc19a3,SLC19A3
Tmco3,TMCO3
Catsper1,CATSPER1
Prr3,PRR3
Ptov1,PTOV1
Mesd,MESD
Dcun1d2,DCUN1D2
Parp12,PARP12
Gdf15,GDF15
Rpf2,RPF2
Grtp1,GRTP1
Tbkbp1,TBKBP1
Jarid2,JARID2
Tbc1d17,TBC1D17
C1s1,None
Mfsd4b1,MFSD4B
X1700003F12Rik,None
Fchsd1,FCHSD1
Armc10,ARMC10
Car14,None
C1rl,C1RL
Mfsd4b5,None
Rgs4,RGS4
Cbfa2t2,CBFA2T2
Osbpl7,None
Zfp280d,None
Mc3r,MC3R
Ubn2,UBN2
Atf5,ATF5
Tmc3,TMC3
Srd5a2,SRD5A2
Pcid2,PCID2
BC028528,None
Inip,INIP
Cul7,CUL7
Ranbp9,RANBP9
Ciart,CIART
Fndc4,FNDC4
Reep2,REEP2
Sp6,SP6
Efl1,EFL1
Ift172,IFT172
Cyp24a1,CYP24A1
Rad9b,RAD9B
Saxo2,SAXO2
Bpifb5,None
Susd4,SUSD4
Susd1,None
Sct,SCT
Pptc7,PPTC7
Pln,PLN
Akap12,AKAP12
Colec10,COLEC10
Tctn1,TCTN1
Cep85l,None
Shoc1,SHOC1
Capn8,CAPN8
Atp6v0a4,ATP6V0A4
Slc35f1,SLC35F1
Ripor1,RIPOR1
Samd10,SAMD10
Gng10,GNG10
Dock10,DOCK10
Phrf1,PHRF1
Mcl1,MCL1
Nfe2l1,NFE2L1
Rassf7,RASSF7
Ensa,ENSA
Med30,MED30
Tm6sf1,TM6SF1
Nepn,NEPNP
Polr3k,POLR3K
Zkscan16,None
Degs1,DEGS1
Lrrc56,LRRC56
Akr1d1,AKR1D1
Ctss,CTSS
Pold1,POLD1
Ramac,RAMAC
Creb3l2,CREB3L2
Rnh1,RNH1
Sycp2l,SYCP2L
Cyp3a16,CYP3A5
Ric1,RIC1
Fsd2,FSD2
Herc1,None
Dgki,DGKI
Lpar1,LPAR1
Mybpc2,MYBPC2
Arfrp1,ARFRP1
Ucn,UCN
Scube3,SCUBE3
Trps1,TRPS1
Pak1ip1,PAK1IP1
Rtel1,RTEL1
Atp5j2,None
Mbd3l1,MBD3L1
Hoxb4,HOXB4
Josd2,JOSD2
Mapkap1,MAPKAP1
Taf5l,TAF5L
Hoxb5,HOXB5
Dsel,DSEL
Aspdh,ASPDH
Gmeb2,GMEB2
Golga4,GOLGA4
Txndc8,TXNDC8
Mindy1,MINDY1
Atp5l,None
Pbx3,PBX3
Hoxb7,HOXB7
Bud31,BUD31
Pkhd1l1,PKHD1L1
Pakap,None
Mboat1,MBOAT1
Wdr26,WDR26
Nudcd1,NUDCD1
Shank1,SHANK1
Mvb12b,MVB12B
Angptl6,ANGPTL6
Nlrp6,NLRP6
Omt2b,None
Ptk6,PTK6
Elovl3,ELOVL3
Ttll6,TTLL6
Nup205,None
Trhr,TRHR
Abcf1,ABCF1
Alpk3,ALPK3
Ptpn3,PTPN3
Lmx1b,LMX1B
Gabpb2,GABPB2
X9130409I23Rik,None
Kpna7,KPNA7
Kdm3b,KDM3B
Ascc3,ASCC3
Vill,VILL
Ephx1,EPHX1
Sema6c,SEMA6C
Smurf1,SMURF1
Stap2,STAP2
X1700028J19Rik,None
Cnot4,CNOT4
Scgb3a2,SCGB3A2
Lefty1,LEFTY1
Zscan2,ZSCAN2
Scgb1c1,SCGB1C1
Ost4,OST4
Six3,SIX3
Sde2,SDE2
Rap1gap2,RAP1GAP2
Gngt2,GNGT2
Trmt112,TRMT112
Ctnnal1,CTNNAL1
Hace1,HACE1
Abitram,ABITRAM
Tmem214,TMEM214
Ralgps1,RALGPS1
Agbl3,AGBL3
Vars2,VARS2
Birc7,BIRC7
Gcnt1,GCNT1
Kif16b,KIF16B
Phb,PHB
Ythdf1,YTHDF1
Itpkb,None
Baiap2l1,BAIAP2L1
Garnl3,GARNL3
Pi4kb,PI4KB
Zcchc2,ZCCHC2
Bpgm,BPGM
Zfhx3,ZFHX3
Rnf146,RNF146
Nipal2,NIPAL2
Mrps34,MRPS34
Prl3a1,None
Shfl,SHFL
Man2a2,MAN2A2
Ctu1,CTU1
Prl3b1,None
Fam117a,FAM117A
Irs2,IRS2
Zfp653,None
Rpl12,RPL12
Pogz,POGZ
Ccdc68,CCDC68
Kat7,KAT7
Plcl2,PLCL2
Dido1,DIDO1
Soga3,SOGA3
E330034G19Rik,None
Rccd1,RCCD1
Tcfl5,None
Sccpdh,SCCPDH
Prc1,PRC1
Cnst,CNST
Supt3,None
Edc3,EDC3
Slco4a1,SLCO4A1
Ube2l3,UBE2L3
Pdk2,PDK2
Klk1b16,KLK3
Lmtk2,LMTK2
Cldnd2,CLDND2
Rabggtb,RABGGTB
Ppp1r9b,PPP1R9B
Rbbp8nl,None
Bloc1s5,BLOC1S5
Tspyl5,TSPYL5
Cfap157,CFAP157
Cables2,CABLES2
Txndc5,TXNDC5
Hils1,H1-9P
Asb17,ASB17
Ube3c,UBE3C
Rps21,RPS21
Bmp6,BMP6
Tlr4,TLR4
Cpq,CPQ
Siglecf,None
Timm8b,TIMM8B
Mtg1,MTG1
Ttc16,TTC16
Arhgap18,ARHGAP18
Tsga13,TSGA13
Tasp1,TASP1
St6galnac5,ST6GALNAC5
Adrm1,ADRM1
Arpin,ARPIN-AP3S2
Usp6nl,USP6NL
Pigk,PIGK
Foxred1,FOXRED1
Osbpl2,OSBPL2
Eme1,EME1
Myo16,MYO16
Ak5,AK5
Hrh3,HRH3
Anpep,ANPEP
Echdc3,ECHDC3
Atpsckmt,ATPSCKMT
Psmd7,PSMD7
Zzz3,ZZZ3
Mtg2,None
Cpa4,CPA4
Trhr2,None
Zfp503,None
Chad,CHAD
Ss18l1,SS18L1
Rreb1,RREB1
L3mbtl3,L3MBTL3
Sptlc3,SPTLC3
En2,EN2
Rsad1,RSAD1
Rln1,RLN2
Wdr93,WDR93
March6,None
Nexn,NEXN
Atp6v1g1,ATP6V1G1
Htr5a,HTR5A
Lsm14b,LSM14B
F13a1,F13A1
Mycbpap,MYCBPAP
Nrn1,NRN1
Itga9,ITGA9
Adgrg6,ADGRG6
Taf4,None
Prune2,PRUNE2
Cdc123,CDC123
Zc3hc1,ZC3HC1
Gipc2,GIPC2
Whrn,WHRN
Camk1d,CAMK1D
Ifi44l,IFI44L
Sart1,SART1
Runx2,RUNX2
Shd,SHD
Cdh26,CDH26
Stim2,STIM2
Fam102a,FAM102A
Akna,AKNA
Ube2h,UBE2H
Cmc1,CMC1
Naif1,NAIF1
Akap7,AKAP7
Adgrl4,ADGRL4
Dap,DAP
X1700003H04Rik,None
Polg,POLG
Tbc1d19,None
Tekt5,TEKT5
AW209491,None
Nubp2,NUBP2
Fanci,FANCI
Rbpj,RBPJ
Nlrc4,NLRC4
Rlbp1,RLBP1
X1110008P14Rik,None
Adk,ADK
Ptchd3,PTCHD3
Zdhhc1,ZDHHC1
Atf7ip2,ATF7IP2
Tbc1d25,TBC1D25
Abhd2,ABHD2
Ciz1,None
Daglb,DAGLB
Metrnl,METRNL
Rpl39l,None
Gpatch2,GPATCH2
Svs1,None
Il18,IL18
Srrm2,SRRM2
Arid4b,ARID4B
Ppp1r10,PPP1R10
Rpl22l1,RPL22L1
D1Pas1,None
Tbcd,TBCD
Suv39h1,SUV39H1
Stx11,STX11
Tbce,TBCE
Sec24d,None
Isg20,ISG20
Zfp750,None
Tgfb2,TGFB2
B3galnt2,B3GALNT2
E130309D02Rik,None
Lyplal1,LYPLAL1
Lgi2,LGI2
Fn3krp,FN3KRP
Pomt1,POMT1
Vstm2b,VSTM2B
Prrc2b,PRRC2B
Npepl1,NPEPL1
Gimap3,GIMAP1-GIMAP5
X2300002M23Rik,None
Megf9,MEGF9
Foxk2,FOXK2
Pcsk1n,PCSK1N
Azi2,AZI2
Fndc3b,FNDC3B
Cybc1,CYBC1
Spdye4a,None
Cdk5rap2,CDK5RAP2
Tnfsf10,TNFSF10
Hexdc,None
Ndst2,NDST2
Minar1,MINAR1
Clnk,CLNK
Rftn1,RFTN1
Rab3gap2,RAB3GAP2
Uts2r,UTS2R
Igfbp2,IGFBP2
Rnf122,RNF122
Tex19.1,TEX19
Tsga10ip,None
Spata16,SPATA16
Mfsd4b2,None
Ankar,ANKAR
Mettl22,METTL22
Atp6v0e2,ATP6V0E2
C130074G19Rik,None
Smarcal1,SMARCAL1
Exosc2,EXOSC2
Fut11,FUT11
Drd5,DRD5
Picalm,PICALM
Sectm1b,None
Sec24c,None
March4,None
Wdr17,None
Synpo2l,SYNPO2L
